city_name,latitude,longitude,date,temp_max,temp_min,temp_avg,precipitation,humidity,wind_speed,ingestion_timestamp,data_source
Bogotá,4.6097,-74.0817,2025-05-20,21.375226119479898,15.7423742371259,16.49126581881016,6.23392552588523,67.18948428265267,14.070784319097683,2025-06-01T16:08:53.460214,sample_data
Bogotá,4.6097,-74.0817,2025-05-21,27.67682802585945,13.674095231789297,17.132459516194892,0.07205570094681195,81.01583546033959,21.945389205436562,2025-06-01T16:08:53.460231,sample_data
Bogotá,4.6097,-74.0817,2025-05-22,20.082260988684858,12.530125453632547,18.69097615714561,1.246804164904935,72.39476109794862,0.827775718123732,2025-06-01T16:08:53.460237,sample_data
Bogotá,4.6097,-74.0817,2025-05-23,23.193692493984503,12.517434260449386,16.293427257906764,0.31066377014611574,73.05775403452954,2.0155617870975924,2025-06-01T16:08:53.460243,sample_data
Bogotá,4.6097,-74.0817,2025-05-24,24.40892395986425,11.932893297520561,14.000570088911662,3.4040437730275204,94.42795450328893,6.473013376124713,2025-06-01T16:08:53.460248,sample_data
Bogotá,4.6097,-74.0817,2025-05-25,21.298413034315754,9.881156710257425,20.234982146970516,1.2212858602763208,67.82542938597283,9.44412812472034,2025-06-01T16:08:53.460253,sample_data
Bogotá,4.6097,-74.0817,2025-05-26,21.1802452884995,12.031256647461515,14.43749027077055,0.00468533803437539,83.311884442807,4.985654504128018,2025-06-01T16:08:53.460257,sample_data
Bogotá,4.6097,-74.0817,2025-05-27,21.0366216734221,9.93305626961402,20.112779088920114,11.61356711496116,59.02899017066545,7.125168108664619,2025-06-01T16:08:53.460261,sample_data
Bogotá,4.6097,-74.0817,2025-05-28,26.237256727650276,8.007337823694312,19.51230458959435,17.97690970328517,43.43270825524449,12.816058722381754,2025-06-01T16:08:53.460265,sample_data
Bogotá,4.6097,-74.0817,2025-05-29,19.515704270918576,10.904383417688912,15.6357012038856,9.053094049297316,87.50508368920588,12.219164696022638,2025-06-01T16:08:53.460270,sample_data
